,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,The Super Mario Bros. Movie,2023,"Michael Jelenic, Aaron Horvath","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Khary Payton', 'Sebastian Maniscalco', 'Charles Martinet', 'Kevin Michael Richardson', 'Juliet Jelenic', 'Rino Romano', 'John DiMaggio', 'Jessica DiCicco', 'Eric Bauza', 'Scott Menville', 'Jason Broad', 'Carlos Alazraqui', 'Ashly Burch', 'Rachel Butera', 'Cathy Cavadini', 'Will Collyer', 'Django Craig', 'Willow Geer', 'Aaron Hendry', 'Andy Hirsch', 'Barbara Lley', 'Phil LaMarr', 'Jeremy Maxwell', 'Daniel Mora', 'Eric Osmond', 'Noreen Reardon', 'Lee Shorten', 'Cree Summer', 'Nisa Ward', 'Nora Wyman']",2.0,3.53,https://letterboxd.com//film/the-super-mario-bros-movie/
1,"The Boy, the Mole, the Fox and the Horse",2022,"Peter Baynton, Charlie Mackesy","['Jude Coward Nicoll', 'Tom Hollander', 'Idris Elba', 'Gabriel Byrne']",1.0,3.58,https://letterboxd.com//film/the-boy-the-mole-the-fox-and-the-horse/
2,The Masked Scammer,2022,"Yvann Yagchi, Dominic Sivyer",['Gilbert Chickli'],2.0,2.82,https://letterboxd.com//film/the-masked-scammer/
3,Guillermo del Toro's Pinocchio,2022,"Guillermo del Toro, Mark Gustafson","['Gregory Mann', 'Ewan McGregor', 'David Bradley', 'Christoph Waltz', 'Tilda Swinton', 'Ron Perlman', 'Finn Wolfhard', 'Cate Blanchett', 'Tim Blake Nelson', 'John Turturro', 'Burn Gorman', 'Tom Kenny', 'Alfie Tempest', 'Anthea Greco', 'Francesca Fanti', 'Sandro Carotti', 'Rio Mangini', 'Benjamin Valic', 'Sky Alexis', 'Ariana Molkara', 'Roy Halo', 'Luciano Palmeri', 'Peter Arpesella']",5.0,4.06,https://letterboxd.com//film/guillermo-del-toros-pinocchio/
4,Glass Onion,2022,Rian Johnson,"['Daniel Craig', 'Edward Norton', 'Janelle Monáe', 'Kathryn Hahn', 'Leslie Odom Jr.', 'Kate Hudson', 'Dave Bautista', 'Jessica Henwick', 'Madelyn Cline', 'Noah Segan', 'Jackie Hoffman', 'Dallas Roberts', 'Stephen Sondheim', 'Angela Lansbury', 'Natasha Lyonne', 'Kareem Abdul-Jabbar', 'Serena Williams', 'Yo-Yo Ma', 'Jacek Czajka', 'Dan Chariton', 'Eddie Gorodetsky', 'Coco Shinomiya', 'Dilcia Barrera', 'Mark Newman', 'Adam Davenport', 'Lauren Ivy', 'Momo Pićurić', 'N.J. Gentry', 'Ali Goksoy', 'James Payton', 'T. Florian Karnowski', 'Jake Tapper', 'Panagiotis Margetis', 'Adele Franck', 'Ethan Hawke', 'Hugh Grant', 'Joseph Gordon-Levitt']",2.0,3.63,https://letterboxd.com//film/glass-onion/
5,The Banshees of Inisherin,2022,Martin McDonagh,"['Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Barry Keoghan', 'Gary Lydon', 'Pat Shortt', 'Jon Kenny', 'Sheila Flitton', 'David Pearse', 'Bríd Ní Neachtain', 'Aaron Monaghan', 'Lasairfhíona Ní Chonaola', 'James Eugene Carty', 'Conor Connolly', 'Ryan Owens', 'John Carty', 'Oliver Farrelly']",4.0,4.1,https://letterboxd.com//film/the-banshees-of-inisherin/
6,White Noise,2022,Noah Baumbach,"['Adam Driver', 'Greta Gerwig', 'Don Cheadle', 'Raffey Cassidy', 'Sam Nivola', 'May Nivola', 'Jodie Turner-Smith', 'André 3000', 'Sam Gold', 'Carlos Jacott', 'Lars Eidinger', 'Bill Camp', 'Barbara Sukowa', 'Francis Jue', 'J. David Hinze', 'Gideon Glick', 'Madison Gaughan', 'Douglas Brodax', 'Carly Brodax', 'Jill Brodax', 'Wickham Bermingham', 'Michael Chopra', 'Santu Chopra', 'Danielle Williams', 'Matthew Williams', 'Henry Moore', 'Dean Moore', 'Jacob Weinheimer', 'Danny Wolohan', 'Randall L. Johnson', 'David Neumann', 'Starlett Sabo', 'Erik Moth', 'Gavin Ditz', 'George Drakoulias', 'James DeForest Parker', 'Andrew Barth Feldman', 'Annie Fitzpatrick', 'Brooke Bloom', 'Quincy Tyler Bernstine', 'Jennifer Tober', 'David Myers Gregory', 'Aaron Marcus', 'Benjamin Sheeler', 'Ted Weil', 'Jeanne Madison', 'Joey Nader', 'C.C. Boler', 'Maggie Lou Rader', 'Alphaeus Green, Jr.', 'Lauren Ashley Berry', 'Hannah Neff', 'Dean Wareham', 'Britta Phillips', 'Chloe Fineman', 'Janette Torrico-Woo', 'Howard Y. Woo', 'Janellyn Woo', 'Jacquelyn Woo', 'Mei Woo', 'Chris Green', 'Samantha Russell', 'Andy Knode', 'Kenneth D. Early', 'J. Barrett Cooper', 'Sarah Eddy', 'Matt Henderson', 'Kenneth Lonergan', 'Meggie Loughran', 'Mike Gassaway', 'Bob Gray', 'Thomas W. Wolf', 'Bryant Carroll', 'Bill Bower', 'Sierra Chagin', 'Catherine Collier', 'Anthony Dain', 'Rick Dremann', 'Dave Droge', 'Logan Fry', 'Michelle Haskell', 'Steven Hemminger', 'Linda Marie Howell', 'Mike Kolovich', 'Emily Cass McDonnell', 'Ashley McKnight', 'Cory Medley-White', 'Joseph Moreland', 'Kevin E. Murphy', 'Sue Danna Myer', 'Laura Rauh', 'T. Oliver Reid', 'Daniel Repas', 'Brandon (B.Rice) Rice', 'Mark Salas', 'Michael Suglio', 'Erica Sweany', 'Marshall Vargas', 'William Wilmoth', 'Paul Worley']",2.5,3.01,https://letterboxd.com//film/white-noise-2022/
7,Look Both Ways,2022,Wanuri Kahiu,"['Lili Reinhart', 'Danny Ramirez', 'David Corenswet', 'Aisha Dee', 'Andrea Savage', 'Luke Wilson', 'Nia Long', 'Sahara Ale', 'Amanda Knapic', 'Sarah J. Bartholomew', 'Jacqueline Seaman', 'Francine Seaman', 'Jaden Tolliver', 'Justin Donte', 'Amanda Grace Jenkins', 'Taylor Ashley Murphy']",,2.98,https://letterboxd.com//film/look-both-ways-2022/
8,Nope,2022,Jordan Peele,"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea', 'Steven Yeun', 'Michael Wincott', 'Wrenn Schmidt', 'Barbie Ferreira', 'Terry Notary', 'Devon Graye', 'Donna Mills', 'Oz Perkins', 'Eddie Jemison', 'Keith David', 'Jacob Kim', 'Sophia Coto', 'Jennifer Lafleur', 'Andrew Patrick Ralston', 'Lincoln Lambert', 'Pierce Kang', 'Roman Gross', 'Ryan W. Garcia', 'Conor Kawalski', 'Alex Hyde-White', 'Evan Shafran', 'Mark Casimir Dyniewicz Jr.', 'Hetty Chang', 'Liza Treyger', 'Courtney Stephens', 'Caden J. Lovgren', ""Malcolm Jae O'Shea""]",,3.85,https://letterboxd.com//film/nope/
9,Once Again... (Statues Never Die),2022,Isaac Julien,"['André Holland', 'Danny Huston', 'Sharlene Whyte', 'Devon Terrell', 'Alex Part', 'Leah Harvey', 'Alice Smith']",4.5,,https://letterboxd.com//film/once-again-statues-never-die/
