,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,A Single Girl,1995,Benoît Jacquot,"['Virginie Ledoyen', 'Benoît Magimel', 'Dominique Valadié', 'Michel Bompoil', 'Véra Briole', 'Toni Cecchinato', 'Virginie Emane', 'Jean-Claude Frissung', 'Hervé Gamelin', 'Guillemette Grobon', 'Catherine Guittoneau', 'Thang-Long', 'Aladin Reibel', 'Jean-Chrétien Sibertin-Blanc', 'Giulia Urso', 'Matéo Blanc']",,3.4,https://letterboxd.com//film/a-single-girl/
1,The Young and the Damned,1950,Luis Buñuel,"['Alfonso Mejía', 'Estela Inda', 'Efraín Arauz', 'Miguel Inclán', 'Roberto Cobo', 'Javier Amézcua', 'Alma Delia Fuentes', 'Mário Ramírez', 'Jorge Pérez', 'Sergio Virel', 'Jesús García', 'Francisco Jambrina', 'Roberto Navarrete', 'José Loza', 'Antulio Jimenez Pons', 'Lupe Carriles', 'Charles Rooner', 'Salvador Quiroz', 'Ernesto Alonso', 'Inés Murillo', 'Enedina Díaz de León', 'Victorio Blanco']",,4.22,https://letterboxd.com//film/the-young-and-the-damned/
2,Brazil,1985,Terry Gilliam,"['Jonathan Pryce', 'Kim Greist', 'Robert De Niro', 'Ian Holm', 'Bob Hoskins', 'Katherine Helmond', 'Michael Palin', 'Ian Richardson', 'Peter Vaughan', 'Jim Broadbent', 'Terry Gilliam', ""Derrick O'Connor"", 'Roger Ashton-Griffiths', 'John Pierce Jones', 'Barbara Hicks', 'Charles McKeown', 'Kathryn Pogson', 'Bryan Pringle', 'Nigel Planer', 'Terence Bayler', 'Gorden Kaye', 'Jack Purvis', 'Howard Lew Lewis', 'John Flanagan', 'Sheila Reid', 'Ray Cooper', 'Brian Miller', 'Simon Jones', 'Derek Deadman', 'Bill Wallis', 'Myrtle Devenish', 'Ann Way', 'Don Henderson', 'Oscar Quitak', 'Harold Innocent', 'John Grillo', 'Ralph Nossek', 'David Gant', 'James Coyle', 'Patrick Connor', 'Elizabeth Spender']",,4.03,https://letterboxd.com//film/brazil/
3,To Live and Die in L.A.,1985,William Friedkin,"['William Petersen', 'Willem Dafoe', 'John Pankow', 'Debra Feuer', 'John Turturro', 'Dean Stockwell', 'Darlanne Fluegel', 'Michael Greene', 'Steve James', 'Robert Downey Sr.', 'Christopher Allport', 'Valentin de Vargas', 'Jack Hoar', 'Dwier Brown', 'Michael Chong', 'Jacqueline Giroux', 'Michael Zand', 'Bobby Bass', 'Dar Robinson', 'Anne Betancourt', 'Katherine M. Louie', 'Edward Harrell', 'Gilbert Espinoza', 'John Petievich', 'Zarko Petievich', 'Rick Dalton', 'Richard L. Lane', 'Jack Cota', 'Shirley J. White', 'Gerald H. Brownlee', 'David M. DuFriend', 'Rubén García', 'Joe Duran', 'Buford McClerkins', 'Gregg Dandridge', 'Donnie Williams', 'Earnest Hart Jr.', 'Thomas F. Duffy', 'Gerald Petievich', 'Mark Gash', 'Pat McGroarty', 'Brian Bradley', 'Jane Leeves', 'Gary Cole']",,3.89,https://letterboxd.com//film/to-live-and-die-in-la/
4,The Fire Within,1963,Louis Malle,"['Maurice Ronet', 'Léna Skerla', 'Yvonne Clech', 'Hubert Deschamps', 'Jean-Paul Moulinot', 'Mona Dol', 'Pierre Moncorbier', 'René Dupuy', 'Bernard Tiphaine', 'Bernard Noël', 'Ursula Kubler', 'Jeanne Moreau', 'Alain Mottet', 'François Gragnon', 'Romain Bouteille', 'Jacques Sereys', 'Alexandra Stewart', 'Claude Deschamps', 'Tony Taffin', 'Henri Serre', 'Madeleine Declercq', 'Claude Deleusse', 'Darling Légitimus', 'Michèle Mahaut', 'Vera Valdez', 'Micha Bayard']",,4.1,https://letterboxd.com//film/the-fire-within/
5,Rio Bravo,1959,Howard Hawks,"['John Wayne', 'Dean Martin', 'Ricky Nelson', 'Angie Dickinson', 'Walter Brennan', 'Ward Bond', 'John Russell', 'Pedro Gonzalez Gonzalez', 'Estelita Rodriguez', 'Claude Akins', 'Malcolm Atterbury', 'Harry Carey, Jr.', 'Walter Barnes', 'George Bell', 'Noble ""Kid"" Chissell', 'Cecil Combs', 'Myron Healey', 'Cactus Mack', 'Mathew McCue', 'Frank Mills', 'Kansas Moehring', 'Jack Perry', 'Danny Sands', 'Sailor Vincent', 'Bob Whitney', 'Nesdon Booth', 'Robert Donner', 'Ted White', 'George Bruggeman', 'Buck Bucko', 'Yakima Canutt', 'Chuck Roberson', 'Albert Cavens', 'Tom Monroe', 'Fred Graham', 'Eugene Iglesias', 'Joe Gray', 'Dean Smith', 'Riley Hill', 'Richard LaMarr', 'Gordon Mitchell', 'Bob Reeves', 'Bing Russell', 'Bob Steele', 'Bud Cokes', 'David O. McCall']",,4.07,https://letterboxd.com//film/rio-bravo/
6,High Noon,1952,Fred Zinnemann,"['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell', 'Lloyd Bridges', 'Katy Jurado', 'Otto Kruger', 'Lon Chaney Jr.', 'Harry Morgan', 'Ian MacDonald', 'Eve McVeagh', 'Morgan Farley', 'Harry Shannon', 'Lee Van Cleef', 'Robert J. Wilke', 'Sheb Wooley', 'Jack Elam', 'John Doucette', 'Ted Stanhope', 'Lee Aaker', 'Guy Beach', 'Larry J. Blake', 'John Breen', 'Tex Driscoll', 'Herschel Graham', 'Paul Kruger', ""William H. O'Brien"", 'Roy Bucko', 'Russell Custer', 'Nora Bush', 'Ann Kunde', 'Ben Corbett', 'Rudy Germane', 'Chuck Hayward', 'Michael Jeffers', 'Kansas Moehring', 'Jack Montgomery', 'Buddy Roosevelt', 'Allen D. Sewall', 'Howland Chamberlain', 'Virginia Christine', 'Cliff Clark', 'Paul Dubov', 'Dick Elliott', 'Virginia Farmer', 'Tim Graham', 'Tom Greenway', 'Harry Harvey', 'Nolan Leary', 'Tom London', 'Merrill McCormick', 'William Newell', 'James Millican', 'William Phillips', 'Lucien Prival', 'Ralph Reed', 'Charles Soldani', 'Slim Talbot']",,3.87,https://letterboxd.com//film/high-noon/
7,Altered States,1980,Ken Russell,"['William Hurt', 'Blair Brown', 'Bob Balaban', 'Charles Haid', 'Thaao Penghlis', 'Miguel Godreau', 'Dori Brenner', 'Peter Brandon', 'Charles White-Eagle', 'Drew Barrymore', 'Megan Jeffers', 'Jack Murdock', 'Francis X. McCarthy', 'Deborah Baltzell', 'Evan Richards', 'Paul Larsson', 'John Larroquette', 'George Gaynes', 'Hap Lawrence', 'John Walter Davis']",,3.59,https://letterboxd.com//film/altered-states/
8,Earth,1930,Oleksandr Dovzhenko,"['Stepan Shkurat', 'Semen Svashenko', 'Yuliya Solntseva', 'Yelena Maksimova', 'Mykola Nademskyi', 'Ivan Franko', 'Petro Masokha', 'Vladimir Mikhaylov', 'Pavlo Petryk', 'P. Umanets', 'Ye. Bondina', 'Luka Lyashenko', 'Vasyl Krasenko', 'M. Matsyutsia']",,3.7,https://letterboxd.com//film/earth-1930/
9,The Life of Oharu,1952,Kenji Mizoguchi,"['Kinuyo Tanaka', 'Tsukie Matsuura', 'Ichirō Sugai', 'Toshirō Mifune', 'Toshiaki Konoe', 'Kiyoko Tsuji', 'Hisako Yamane', 'Jūkichi Uno', 'Eitarō Shindō', 'Akira Ôizumi', 'Kyôko Kusajima', 'Masao Shimizu', 'Daisuke Katō', 'Toranosuke Ogawa', 'Hiroshi Oizumi']",,4.13,https://letterboxd.com//film/the-life-of-oharu/
