,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,"His Motorbike, Her Island",1986,Nobuhiko Obayashi,"['Riki Takeuchi', 'Kiwako Harada', 'Noriko Watanabe', 'Ryôichi Takayanagi', 'Takahiro Tamura', 'Tomokazu Miura', 'Toshie Negishi', 'Tōru Minegishi', 'Kiyohiko Ozaki', 'Kôji Naka', 'Kisuke Yamashita', 'Mochizuki Mami', 'Nenji Kobayashi', 'Shigeru Izumiya', 'Yasuhiro Arai', 'Toshinori Omi', 'Satomi Kobayashi', 'Ittoku Kishibe', 'Mitsutoshi Ishigami', 'Wakaba Irie', 'Sumiko Kakizaki', 'Makoto Kakeda']",,4.1,https://letterboxd.com//film/his-motorbike-her-island/
1,Cemetery of Splendor,2015,Apichatpong Weerasethakul,"['Jenjira Pongpas', 'Banlop Lomnoi', 'Jarinpattra Rueangram', 'Petcharat Chaiburi', 'Tawatchai Buawat', 'Sujittraporn Wongsrikeaw', 'Bhattaratorn Senkraigul', 'Sakda Kaewbuadee', 'Pongsadhorn Lertsukon', 'Sasipim Piwansenee', 'Apinya Unphanlam', 'Richard Abramson', 'Kammanit Sansuklerd', 'Boonyarak Bodlakorn', 'Wacharee Nagvichien', 'Ugkran Wiriyakul', 'Siriorawan Wosayaw', 'Prakob Fukkham', 'Sawaros Wichatham', 'Pattraporn Wattanamontri', 'Ketsarin Pitakpong', 'Sirisobha Boonyotha', 'Sirinat Laothong', 'Utain Raethong', 'Piyaphong Khiawon', 'Yada Chinahong', 'Pensree Srinusorn', 'Prakai Buttasee', 'Suwanida Dononpuo', 'Panpee Keawhawong', 'Chinnaphan Botraksa', 'Wachirachai Yodmonkjarern', 'Viriya Viriyanawinn', 'Onnalin Porntrakulpipat', 'Nawin Deeruksa']",,3.85,https://letterboxd.com//film/cemetery-of-splendor/
2,"Goodbye, Dragon Inn",2003,Tsai Ming-liang,"['Lee Kang-sheng', 'Chen Shiang-Chyi', 'Kiyonobu Mitamura', 'Miao Tien', 'Shih Chun', 'Chen Chao-jung', 'Yang Kuei-Mei']",,3.94,https://letterboxd.com//film/goodbye-dragon-inn/
3,Canal Zone,1977,Frederick Wiseman,,,3.78,https://letterboxd.com//film/canal-zone-1977/
4,In the Cut,2003,Jane Campion,"['Meg Ryan', 'Mark Ruffalo', 'Jennifer Jason Leigh', 'Nick Damici', 'Sharrieff Pugh', 'Heather Litteer', 'Kevin Bacon', 'Michael Nuccio', 'Allison Nega', 'Dominick Aries', 'Susan Gardner', 'Daniel T. Booth', 'Yaani King Mondschein', 'Frank Harts', 'Sebastian Sozzi', 'Zach Wegner', ""Patrice O'Neal"", 'Arthur J. Nascarella', 'Funda Duval', 'Theo Kogan', 'Sandy Vital', 'Sharon Riggins', 'Karen Riggins', 'Nancy La Scala', 'Ami Goodheart', 'Panicker Upendran', 'Kendra A. Zimmerman', 'Michelle Hurst', 'Sunrise Coigney', 'Hal Sherman', 'Dana Lubotsky', 'Jacinto Taras Riddick', 'James Firo', 'Cordell Clyde', 'Tim House', 'Julius LeFlore', 'Vinny Vella', 'Skippy D', 'Michelle DiBenedetti', 'Sein Gay', 'Michael Ienna', 'Lou Martini Jr.', 'Susan Trishel Monson', 'Nicole Spruill']",,3.24,https://letterboxd.com//film/in-the-cut/
5,A Single Girl,1995,Benoît Jacquot,"['Virginie Ledoyen', 'Benoît Magimel', 'Dominique Valadié', 'Michel Bompoil', 'Véra Briole', 'Toni Cecchinato', 'Virginie Emane', 'Jean-Claude Frissung', 'Hervé Gamelin', 'Guillemette Grobon', 'Catherine Guittoneau', 'Thang-Long', 'Aladin Reibel', 'Jean-Chrétien Sibertin-Blanc', 'Giulia Urso', 'Matéo Blanc']",,3.4,https://letterboxd.com//film/a-single-girl/
6,King of Hearts,1966,Philippe de Broca,"['Alan Bates', 'Geneviève Bujold', 'Pierre Brasseur', 'Michel Serrault', 'Jean-Claude Brialy', 'Adolfo Celi', 'Micheline Presle', 'Philippe de Broca', 'Françoise Christophe', 'Julien Guiomar', 'Palau', 'Jacques Balutin', 'Pier Paolo Capponi', 'Madeleine Clervanne', 'Marc Dudicourt', 'Georges Adet', 'Jackie Blanchot', 'Robert Blome', 'Jean-Marie Bon', 'Daniel Boulanger', 'Philippe Bruneau', 'Paul Faivre', 'Georges Guéret', 'Louis Jojot', 'Jacques Mauclair', 'Daniel Prévost', 'Yves Robert', 'Sabine Sun', 'Sylvain', 'Eric Vasberg']",,3.6,https://letterboxd.com//film/king-of-hearts/
7,Dersu Uzala,1975,Akira Kurosawa,"['Yuriy Solomin', 'Maksim Munzuk', 'Mikhail Bychkov', 'B. Khorulev', 'Vladimir Kremena', 'Aleksandr Pyatkov', 'Svetlana Danilchenko', 'Dmitri Korshikov', 'Suimenkul Chokmorov', 'Daniil Netrebin', 'Serafim Zaytsev', 'Nikolay Volkov', 'Vladimir Prikhodko', 'Sovetbek Dzhumadylov', 'Igor Sykhra', 'Nikolai Volkov St.']",,4.17,https://letterboxd.com//film/dersu-uzala/
8,Altered States,1980,Ken Russell,"['William Hurt', 'Blair Brown', 'Bob Balaban', 'Charles Haid', 'Thaao Penghlis', 'Miguel Godreau', 'Dori Brenner', 'Peter Brandon', 'Charles White-Eagle', 'Drew Barrymore', 'Megan Jeffers', 'Jack Murdock', 'Francis X. McCarthy', 'Deborah Baltzell', 'Evan Richards', 'Paul Larsson', 'John Larroquette', 'George Gaynes', 'Hap Lawrence', 'John Walter Davis']",,3.59,https://letterboxd.com//film/altered-states/
9,The House,2022,"Paloma Baeza, Niki Lindroth von Bahr","['Mia Goth', 'Matthew Goode', 'Claudie Blakley', 'Eleanor De Swaef-Roels', 'Mark Heap', 'Stephanie Cole', 'Miranda Richardson', 'David Peacock', 'Barnaby Pilling', 'Jarvis Cocker', 'Sven Wollter', 'Yvonne Lombard', 'Tommy Hibbitts', 'Ayesha Antoine', 'Jason Barnett', 'Wayne Forester', 'Poppy Gathard', 'David Holt', 'Melanie Hudson', 'Emma Tate', 'Susan Wokoma', 'Helena Bonham Carter', 'Paul Kaye', 'Will Sharpe']",,3.55,https://letterboxd.com//film/the-house-2022-1/
10,Dear Mr. Brody,2021,Keith Maitland,"['Frank Mosley', 'Chris Doubek', 'Geoff Marslett']",,3.42,https://letterboxd.com//film/dear-mr-brody/
11,Apollo 10½: A Space Age Childhood,2022,Richard Linklater,"['Milo Coy', 'Jack Black', 'Zachary Levi', 'Glen Powell', 'Josh Wiggins', 'Lee Eddy', 'Bill Wise', ""Natalie L'Amoreaux"", 'Jessica Brynn Cohen', 'Sam Chipman', 'Danielle Guilbot', 'Larry Jack Dotson', 'Mona Lee Fultz', 'Jennifer Griffin', 'Holt Boggs', 'Reese Armstrong', 'Samuel Davis', 'Nick Stevenson', 'Brian Villalobos', 'David DeLao', 'Avery Joy Davis', 'Christian Moran', 'Nicholas Andrew Rice', 'Keslee Blalock', 'John Kaler', 'Gedeon Bring', 'Brent A. Riggs', 'P. Michael Hayes II', 'Michael Garza', 'Joey Garza', 'Wyatt Lindner', 'Andrew N Sears', 'Flint Nattinger', 'Brady Samman', 'Dustin Johnson', 'Natalie Joy', 'Suzanne Deal Booth', 'Chris Olson', 'William Carroll', 'Walter Cronkite', 'John F. Kennedy', 'Richard Nixon', 'Neil Armstrong', 'Buzz Aldrin', 'Janis Joplin', 'Bryce Eaton']",,3.57,https://letterboxd.com//film/apollo-10-a-space-age-childhood/
12,Cha Cha Real Smooth,2022,Cooper Raiff,"['Cooper Raiff', 'Dakota Johnson', 'Vanessa Burghardt', 'Evan Assante', 'Leslie Mann', 'Brad Garrett', 'Raúl Castillo', 'Amara Pedroso Saquel', 'Odeya Rush', 'Brooklyn Ramirez', ""Kelly O'Sullivan"", 'Javien Mercado', 'Chris Newman', 'John Paul Hurley', 'Davina Reid', 'Lisa Velten Smith', 'Corrie Danieley', 'Eamonn McElfresh', 'Mike Dennis', 'Alison Weisgall', 'Jonathan Visser', 'Tommy Lafitte', 'Jonathan Berry', 'Colton Osorio']",,3.84,https://letterboxd.com//film/cha-cha-real-smooth/
13,Fire of Love,2022,Sara Dosa,"['Miranda July', 'Katia Krafft', 'Maurice Krafft']",,4.02,https://letterboxd.com//film/fire-of-love-2022/
14,After Yang,2021,Kogonada,"['Colin Farrell', 'Jodie Turner-Smith', 'Malea Emma Tjandrawidjaja', 'Justin H. Min', 'Ritchie Coster', 'Sarita Choudhury', 'Clifton Collins Jr.', 'Haley Lu Richardson', 'Orlagh Cassidy', 'Ava DeMary', 'Lee Wong', 'Brett Dier', 'Eve Lindley', 'Adeline Kerns', 'Ansley Kerns', 'Nana Mensah', 'An Li Bogan', 'Deborah Hedwall', 'Katie Honaker', 'Alberto Del Saz', 'Jesse Kovarsky', 'Marcella Lewis', 'Maria Majoli', 'Toni Melaas', 'Mina Nishimura', 'Lily Ockwell', 'JC Shuster', 'Megan Williams', 'Taylor Ortega', 'Jae Kim']",,3.82,https://letterboxd.com//film/after-yang/
