,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,Intimate Lighting,1966,Ivan Passer,"['Karel Blažek', 'Zdeněk Bezušek', 'Věra Křesadlová', 'Jan Vostrčil', 'Jaroslava Štědrá', 'Vlastimila Vlková', 'Karel Uhlík', 'Miroslav Cvrk', 'Dagmar Ředinová', 'Jiří Růžička', 'Martin Štědrý', 'Josef Hart']",,3.58,https://letterboxd.com//film/intimate-lighting/
1,The Kid,1921,Charlie Chaplin,"['Charlie Chaplin', 'Jackie Coogan', 'Edna Purviance', 'Carl Miller', 'Albert Austin', 'Charles Reisner', 'Lita Grey', 'Beulah Bains', 'Nellie Bly Baker', 'Henry Bergman', 'Edward Biby', 'F. Blinn', 'Kitty Bradbury', 'Frank Campeau', 'Bliss Chevalier', 'Frances Cochran', 'Elsie Codd', 'Jack Coogan Sr.', 'Estelle Cook', 'Lillian Crane', 'Dan Dillon', ""Philip D'Oench"", 'Robert Dunbar', 'Sadie Gordon', 'Jules Hanft', 'Kathleen Kay', 'Raymond Lee', 'Clyde McAtee', 'John McKinnon', 'Lew Parker', 'Esther Ralston', 'Granville Redmond', 'Edgar Sherrod', 'S.D. Wilcox', 'Tom Wilson']",,4.11,https://letterboxd.com//film/the-kid/
2,A Summer's Tale,1996,Éric Rohmer,"['Melvil Poupaud', 'Amanda Langlet', 'Gwenaëlle Simon', 'Aurelia Nolin', 'Aimé Lefèvre', 'Alain Guellaff', 'Evelyne Lahana', 'Yves Guérin', 'Franck Cabot']",,4.02,https://letterboxd.com//film/a-summers-tale/
3,Madame Freedom,1956,Han Hyeong-mo,"['Park Am', 'Kim Jeong-rim', 'No Gyeong-hui', 'Ju Seon-tae', 'Kim Dong-won', 'Go Hyang-mi', 'Yang Mi-hee', 'Lee Min', 'Ahn Na-yeong', 'Go Seon-ae', 'Bang Su-man', 'Choi Nam-hyun', 'Yeon Yeong', 'Bae Seon-hui', 'Sin Mi', 'Yun Geum-ja', 'Park mi ran', 'Baek Seol-hui', 'Na Bok-hui', 'Park Ju-geun']",,3.14,https://letterboxd.com//film/madame-freedom/
4,Boiling Point,2021,Philip Barantini,"['Stephen Graham', 'Vinette Robinson', 'Alice May Feetham', 'Jason Flemyng', 'Hannah Walters', 'Malachi Kirby', 'Izuka Hoyle', 'Taz Skylar', 'Lauryn Ajufo', 'Ray Panthaki', 'Daniel Larkai', 'Lourdes Faberes', 'Áine Rose Daly', ""Robbie O'Neill"", 'Rosa Escoda', 'Stephen McMillan', 'Gary Lamont', 'Alex Heath', 'Gala Botero', 'Philip Hill-Pearson', 'Kieran Urquhart', 'Hannah Traylen', 'Diljohn Singh', 'Alexandra Jordan', 'Kimesha Campbell', 'Caroline Garnell', 'Hester Ruoff', 'Dan Tymon']",,4.0,https://letterboxd.com//film/boiling-point-2021/
5,Memoria,2021,Apichatpong Weerasethakul,"['Tilda Swinton', 'Agnes Brekke', 'Daniel Giménez Cacho', 'Jerónimo Barón', 'Juan Pablo Urrego', 'Jeanne Balibar', 'Aída Morales', 'Constanza Guitérrez', 'Elkin Díaz', 'Daniel Toro']",,3.7,https://letterboxd.com//film/memoria-2011/
6,Syndromes and a Century,2006,Apichatpong Weerasethakul,"['Nantarat Sawaddikul', 'Jaruchai Iamaram', 'Sophon Pukanok', 'Jenjira Pongpas', 'Arkanae Cherkam', 'Sakda Kaewbuadee', 'Nu Nimsomboon', 'Apirak Mitrpracha', 'Manasanant Porndispong', 'Wanna Wattanajinda', 'Sin Kaewpakpin', 'Norathep Panyanavakij', 'Nitipong Thinthupthai', 'Putthithorn Kammak', 'Jarunee Saengtupthim', 'Rangsan Sutthimaneenun', 'Kasansaeng Kamnerdmee']",,3.98,https://letterboxd.com//film/syndromes-and-a-century/
7,Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,"['Thanapat Saisaymar', 'Jenjira Pongpas', 'Sakda Kaewbuadee', 'Natthakarn Aphaiwonk', 'Geerasak Kulhong', 'Wallapa Mongkolprasert', 'Kanokporn Tongaram', 'Samud Kugasang', 'Sumit Suebsee', 'Mathieu Ly', 'Vien Pimdee', 'Akachai Aodvieng', 'Prakasit Padsena', 'Nikom Kammach', 'Chophaka Chaiyuchit', 'Winai Ruenrerng', 'Kumgieng Jittamaat', 'Miti Jittamaat', 'Phetmongkol Chantawong', 'Nuttapon Kemthong', 'Atapon Wernziw', 'Tongsit Rachasin', 'Thanabodee Laohawanich', 'Namthip Meaungmaha', 'Nitipong Thinthupthai', 'Corey Booth']",,3.83,https://letterboxd.com//film/uncle-boonmee-who-can-recall-his-past-lives/
8,Claire's Camera,2017,Hong Sang-soo,"['Isabelle Huppert', 'Kim Min-hee', 'Chang Mi-hee', 'Jung Jin-young', 'Shahira Fahmy', 'Yoon Hee-sun', 'Mark Peranson', 'Kang Tae-woo', 'Lee Wan-min']",,3.39,https://letterboxd.com//film/claires-camera/
9,Poetry,2010,Lee Chang-dong,"['Yoon Jeong-hee', 'Lee Da-wit', 'Kim Hee-ra', 'Ahn Nae-sang', 'Kim Yong-taek', 'Park Myung-shin', 'Jang Hye-jin', 'Kim Nam-jin', 'Kim Jong-goo', 'Kim Hye-jung', 'Min Bok-gi', 'Kim Ja-young', 'Kim Gye-sun', 'Kim Eun-yeong', 'Choi Moon-soon', 'Park Hyun-woo']",,4.1,https://letterboxd.com//film/poetry/
