,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,The Wild Pear Tree,2018,Nuri Bilge Ceylan,"['Doğu Demirkol', 'Murat Cemcir', 'Bennu Yıldırımlar', 'Hazar Ergüçlü', 'Serkan Keskin', 'Tamer Levent', 'Akın Aksu', 'Ahmet Rıfat Şungar', 'Kubilay Tunçer', 'Öner Erkan', 'Özay Fecht', 'Ercüment Balakoğlu', 'Sencar Sağdıç', 'Asena Keskinci', 'Kadir Çermik', 'Abdurrahman Tutar', 'Salih Ünal']",,4.03,https://letterboxd.com//film/the-wild-pear-tree/
1,Grave of the Fireflies,1988,Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Yoshiko Shinohara', 'Kozo Hashida', 'Masayo Sakai', 'Masayo Sakai', 'Yoshio Matsuoka', 'Masahiro Kanetake', 'Kiyoshi Yanagawa', 'Hajime Maki', 'Atsuo Omotem', 'Teruhisa Harita', 'Hiroshi Tanaka', 'Michio Denpo', 'Shiro Tamaki', 'Mika Sekita', 'Akemi Yamaguchi']",,4.38,https://letterboxd.com//film/grave-of-the-fireflies/
2,Stranger Than Paradise,1984,Jim Jarmusch,"['John Lurie', 'Eszter Balint', 'Richard Edson', 'Cecillia Stark', 'Danny Rosen', 'Rammellzee', 'Tom DiCillo', 'Richard Boes', 'Rockets Redglare', 'Harvey Perr', 'Brian J. Burchill', 'Sara Driver', 'Paul Sloane']",,3.82,https://letterboxd.com//film/stranger-than-paradise/
3,Down by Law,1986,Jim Jarmusch,"['Tom Waits', 'John Lurie', 'Roberto Benigni', 'Ellen Barkin', 'Billie Neal', 'Rockets Redglare', 'Vernel Bagneris', 'Nicoletta Braschi', 'Richard Boes']",,3.99,https://letterboxd.com//film/down-by-law/
4,Miami Vice,2006,Michael Mann,"['Colin Farrell', 'Jamie Foxx', 'Gong Li', 'Naomie Harris', 'John Ortiz', 'Ciarán Hinds', 'Justin Theroux', 'Barry Shabaka Henley', 'Elizabeth Rodriguez', 'John Hawkes', 'Eddie Marsan', 'Luis Tosar', 'Domenick Lombardozzi', 'Isaach De Bankolé', 'Tom Towles', 'Mario Ernesto Sánchez', 'Frankie J. Allison', 'Tony Curran', 'Stephan Jones', 'Rob Larson', 'Don Frye', 'Maxim Danilov', 'Pasha D. Lychnikoff', 'Ana Cristina Oliveira', 'Everlayn Borges', 'Juanita Billue', 'Patrick Michael Buckley', 'Marc Macaulay', 'Mike Pniewski', 'Vivienne Sendaydiego', 'Richard Katanga', 'Dexter Fletcher', 'Oleg Taktarov', 'Alexander Rafalski', 'Ilan Krigsfeld', 'Juliana Guedes', 'James Maurice Rowan Jr.', 'Deborah Demere', 'Abdel Tornes', 'Maria Leon', 'Kenny Acevedo', 'Julia Yarbrough', 'Ryan M. Phillips', 'Amir Aviram', 'Julia Perevedentseva', 'Gilbert Quintana', 'Eboni Nichols', 'Donald Dowd', 'Paul Aldanée', 'Alexander Alonso', 'Jay Amor', 'Ryan Anthony', 'Chris Astoyan', 'Ashley Avis', 'Brad Batchelor', 'Eric Bendross', 'Arthur Bergman', 'Robert Berson', 'Tara Cardinal', 'Michelle Chin', 'Hailey Hansard', 'Stephane Kay', 'Claudine Oriol', 'Danny Pardo', 'Pablo Patlis', 'Nathan Russell', 'Taso N. Stavrakis', 'Lorenzo Toledo', 'Jon Tomlinson', 'Joe Vida', 'David Yuzuk', 'Julia Zgoda']",,3.31,https://letterboxd.com//film/miami-vice/
5,The Exterminating Angel,1962,Luis Buñuel,"['Silvia Pinal', 'Jacqueline Andere', 'José Baviera', 'Augusto Benedico', 'Luis Beristáin', 'Antonio Bravo', 'Claudio Brook', 'César del Campo', 'Bertha Moss', 'Enrique García Álvarez', 'Enrique Rambal', 'Lucy Gallardo', 'Nadia Haro Oliva', 'Ofelia Guilmáin', 'Ofelia Montesco', 'Patricia de Morelos', 'Patricia Morán', 'Rosa Elena Durgel', 'Tito Junco', 'Xavier Loyá', 'Xavier Massé', 'Ángel Di Stefani', 'Ángel Merino', 'Daniel Arroyo', 'Fernando Yapur', 'Jesús Gómez', 'Juan Antonio Edwards', 'Roberto Meyer', 'Rubén Márquez', 'Victorio Blanco', 'Arturo Cobo', 'Chel López', 'Elodia Hernández', 'Enrique del Castillo', 'Eric del Castillo', 'Florencio Castelló', 'Guillermo Álvarez Bianchi', 'Janet Alcoriza', 'Luis Lomelí', 'Pancho Córdova']",,4.11,https://letterboxd.com//film/the-exterminating-angel/
6,Ball of Fire,1941,Howard Hawks,"['Gary Cooper', 'Barbara Stanwyck', 'Oskar Homolka', 'Henry Travers', 'S.Z. Sakall', 'Tully Marshall', 'Leonid Kinskey', 'Richard Haydn', 'Aubrey Mather', 'Allen Jenkins', 'Dana Andrews', 'Dan Duryea', 'Ralph Peters', 'Kathleen Howard', 'Charles Lane', 'Charles Arnt', 'Elisha Cook Jr.', 'Mary Field', 'Alan Rhein', 'Eddie Foster', 'Aldrich Bowker', 'Addison Richards', 'Kenneth Howell', 'Tim Ryan', 'Gene Krupa', 'Pat West', 'Tommy Ryan', 'Will Lee', 'George Barton', 'Doria Caron', 'Ken Christy', 'Eddy Chandler', 'Edward Clark', 'Pat Flaherty', 'Otto Hoffman', 'Ethelreda Leopold', 'Lorraine Miller', 'Ruth Clifford', 'Yvonne Duval', 'Joyce Matthews', 'Patsy Moran', 'Mildred Morris', 'Edward Mundy', 'Gerald Pierce', 'Lynne Roberts', 'Francis Sayles', 'Helen Seamon', 'George Sherwood', 'Walter Shumway', 'Bert Stevens', 'Russell Wade', 'Chalky Williams', 'Martha Tilton', 'John Alban', 'Tex Brodus', 'Chet De Vito', 'Roy Eldridge', 'Geraldine Fissette', 'Laura Gile', 'George Golden', 'Catherine Henderson', 'June Horne', 'Merrillee Lannon', 'Jean MacMurray', 'Hal McIntyre', 'Mike Morelli', ""William H. O'Brien"", 'Jack Perry']",,3.92,https://letterboxd.com//film/ball-of-fire/
7,To Be or Not to Be,1942,Ernst Lubitsch,"['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart', 'Lionel Atwill', 'Stanley Ridges', 'Sig Ruman', 'Tom Dugan', 'Charles Halton', 'George Lynn', 'Henry Victor', 'Maude Eburne', 'Halliwell Hobbes', 'Miles Mander', 'Rudolph Anders', 'Paul Barrett', 'Sven Hugo Borg', 'Danny Borzage', 'Buster Brodie', 'Peter Caldwell', 'Alec Craig', 'Helmut Dantine', 'Jack Deery', 'Leslie Denison', 'James Finlayson', 'James Gillette', 'Stuart Hall', 'Leyland Hodgson', 'Shep Houghton', 'Olaf Hytten', 'Charles Irwin', 'Tiny Jones', 'John Kellogg', 'Adolf E. Licho', 'Wilbur Mack', 'John Meredith', 'Maurice Murphy', 'Richard Neill', 'Russ Powell', 'Frank Reicher', 'Otto Reichow', 'Gene Rizzi', 'John Roy', 'Hans Schumm', 'Stephen Soldi', 'Count Stefenelli', 'Roland Varno', 'Ernö Verebes', 'Dorothy Vernon', ""Armand 'Curly' Wright"", 'Wolfgang Zilzer']",,4.21,https://letterboxd.com//film/to-be-or-not-to-be/
8,Buffalo '66,1998,Vincent Gallo,"['Vincent Gallo', 'Christina Ricci', 'Ben Gazzara', 'Anjelica Huston', 'Rosanna Arquette', 'Jan-Michael Vincent', 'Kevin Corrigan', 'Mickey Rourke', 'Kevin Pollak', 'Alex Karras', 'John Sansone', 'Manny Fried', 'John Rummel', 'Bob Wahl', 'Penny Wolfgang', 'Anthony Mydcarz', 'Michael Maciejewski', 'Jack Claxton', 'Dominic Telesco', 'Carl Marchi', 'Kim Krah', 'Julius Digennaro', 'Terry Braunstein', 'Jack Hunter', 'Norma Gelose', 'Jamie King', 'Janel King', 'Joey Giambra']",,3.89,https://letterboxd.com//film/buffalo-66/
9,Sicily!,1999,"Jean-Marie Straub, Danièle Huillet","['Gianni Buscarino', 'Vittorio Vigneri', 'Angela Nugara', 'Carmelo Maddio', 'Angela Durantini', 'Simone Nucatola', 'Ignazio Trombello', 'Giovanni Interlandi', 'Giuseppe Bonta', 'Mario Baschieri']",,3.74,https://letterboxd.com//film/sicily/
10,The Beekeeper,1986,Theo Angelopoulos,"['Marcello Mastroianni', 'Nadia Mourouzi', 'Serge Reggiani', 'Jenny Roussea', 'Dinos Iliopoulos', 'Vasia Panagopoulou', 'Dimitris Poulikakos', 'Nikos Kouros', 'Giannis Zavradinos', 'Christoforos Nezer', 'Stamatis Gardelis', 'Mihalis Giannatos', 'Karyofyllia Karabeti', 'Konstandinos Konstandopoulos', 'Iakovos Panotas']",,3.7,https://letterboxd.com//film/the-beekeeper/
11,The Emperor's Naked Army Marches On,1987,Kazuo Hara,"['Kenzo Okuzaki', 'Masao Koshimizu', 'Riichi Aikawa', 'Masaichi Hamaguchi', 'Toshio Hara', 'Shichiro Kojima', 'Taro Maruyama', 'Toshiya Nomura', 'Shizumi Okuzaki', 'Eizaburo Oshima', 'Rinko Sakimoto', 'Yukio Seo', 'Iseko Shimamoto', 'Minoru Takami', 'Kichitaro Yamada']",,4.29,https://letterboxd.com//film/the-emperors-naked-army-marches-on/
12,The Games of Angels,1964,Walerian Borowczyk,,,3.19,https://letterboxd.com//film/the-games-of-angels/
13,"Oh, Sun",1970,Med Hondo,"['Robert Liensol', 'Théo Légitimus', 'Ambroise Mbia', 'Gabriel Glissant', 'Akonio Dolo', 'Greg Germain', 'Jean-Baptiste Tiémélé', 'Mabousso Lo', 'Georges Hilarion', 'Alfred Panou', 'Djibrill', 'Les Black Echos', 'Jean Edmond', 'Armand Abplanalp', 'Marc Dudicourt', 'Bernard Fresson', 'Armand Meffre', 'Odette Piquet', 'Sarah Hardenberg', 'Pierre Santini', 'Josette Barnet', 'Jean-Pierre Lituac', 'Ginette Franck', 'Pierre Tabard', 'Yane Barry', 'Gérard Hernandez', 'Hortense Guillemard', 'Gilles Ségal', 'Jean-Guy Lecat', 'Michèle Perello', 'Géraldine Baaron', 'Juran Mladen', 'Danièle', 'Georges Kalymnos', 'Roland Guillemard']",,4.01,https://letterboxd.com//film/oh-sun/
14,"Khrustalyov, My Car!",1998,Aleksey German,"['Yuriy Tsurilo', 'Nina Ruslanova', 'Jüri Järvet Jr.', 'Mikhail Dementyev', 'Aleksandr Bashirov', 'Natalya Lvova', 'Ivan Matskevich', 'Paulina Myasnikova', 'Viktor Mikhaylov', 'Nijolė Narmontaitė', 'Olga Samoshina', 'Genrietta Yanovskaya', 'Evgeniy Vazhenin', 'Galina Volkova', 'Konstantin Vorobyov', 'Natalya Ershova', 'Aleksei Zharkov', 'Andrei Kashker', 'Veniamin Kleyner', 'Elena Kraynyaya', 'Aleksandr Lykov', 'Yuriy Nifontov', 'Viktor Pomortsev', 'Edgar Figner', 'Aleksandr Levit', 'Anatoli Shvedersky', 'Evgeniy Filatov', 'Dmitriy Prigov', 'Mark Geykhman', 'Mikhail Trukhin', 'Konstantin Khabenskiy', 'Lactemir Dztiev', 'Valeri Poroshin', 'Boris Cherdyntsev', 'Ella Vaulchikova', 'Vladimir Mashchenko', 'Valeriy Filonov', 'Irina Osnovina', 'Anton Zakharov', 'Anna Ovsyannikova', 'Gennadi Chetverikov', 'Yuriy Ashikhmin', 'Sergei Russkin', 'Nikolay Dik', 'Andrey Gorshnev', 'Sergei Dyachkov', 'Sergey Lanbamin', 'Sergey Bryantsev', 'Mikhail Silantyev', 'Sergey Barkovsky', 'Daniil Belykh', 'Oleg Garkusha', 'Svetlana Serval', 'Sergey Pinegin', 'Anton Makarov', 'Roman Chora', 'Pavel Kornakov', 'Tatyana Kuznetsova', 'Dmitriy Polyanskiy', 'Yuriy Chirkovskiy', 'Nikolay Ispolatov', 'Sergey Evgranov', 'Viktor Sukhorukov', 'Vladimir Garin', 'Valeri Kuzin', 'Vladimir Rublev']",,4.03,https://letterboxd.com//film/khrustalyov-my-car/
