,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,The Five Obstructions,2003,"Lars von Trier, Jørgen Leth","['Claus Nissen', 'Lars von Trier', 'Majken Algren Nielsen', 'Jacqueline Arenal', 'Daniel Hernandez Rodriguez', 'Alexandra Vandernoot', 'Patrick Bauchau', 'Vivian Rosa', 'Anders Hove', 'Pascal Perez', 'Meschell Perez', 'Marie Dejaer', 'Bent Christensen', 'Stina Ekblad', 'Jan Nowicki', 'Charlotte Sieling', 'Bob Sabiston', 'Jørgen Leth', 'Melanie Munt']",,3.67,https://letterboxd.com//film/the-five-obstructions/
1,The Idiots,1998,Lars von Trier,"['Bodil Jørgensen', 'Jens Albinus', 'Anne Louise Hassing', 'Troels Lyby', 'Nikolaj Lie Kaas', 'Louise Mieritz', 'Henrik Prip', 'Luis Mesonero', 'Knud Romer Jørgensen', 'Trine Michelsen', 'Anne-Grethe Bjarup Riis', 'Paprika Steen', 'Erik Wedersøe', 'Michael Moritzen', 'Anders Hove', 'Jan Elle', 'Claus Strandberg', 'Jens Jørn Spottag', 'John Martinus', 'Lars Bjarke', 'Ewald Larsen', 'Christian Friis', 'Louise B. Clausen', 'Hans Henrik Clemensen', 'Lone Lindorff', 'Erno Müller', 'Regitze Estrup', 'Lotte Munk', 'Marina Bouras', 'Kirsten Vaupel', 'Lillian Tillegreen', 'Birgit Conradi', 'Julie Wieth', 'Albert Wickmann', 'Ditlev Weddelsborg', 'Jesper Sønderaas', 'Peter Frøge', 'Bent Sørensen', 'Lars von Trier']",,3.43,https://letterboxd.com//film/the-idiots/
2,Imitation of Life,1959,Douglas Sirk,"['Lana Turner', 'John Gavin', 'Sandra Dee', 'Susan Kohner', 'Robert Alda', ""Dan O'Herlihy"", 'Juanita Moore', 'Karin Dicker', 'Terry Burnham', 'John Vivyan', 'Lee Goodman', 'Ann Robinson', 'Troy Donahue', 'Sandra Gould', 'David Tomack', 'Joel Fluellen', 'Jack Weston', 'Billy House', 'Maida Severn', 'Than Wyenn', 'Peg Shirley', 'Mahalia Jackson', 'Bess Flowers', 'Frank Baker', 'Alex Ball', 'George Barrows', 'Chet Brandenburg', 'Teddy Buckner', 'George Calliga', 'Steve Carruthers', 'Richard Collier', 'Paul Cristo', 'Joe Darensbourg', 'Robert Darin', 'Mike De Lay', 'Elinor Donahue', 'Adolf Eichmann', 'Cicely Evans', 'Myrna Fahey', 'George Ford', 'Tedd Hadfield', 'Lynne Hunter', 'Nelson Leigh', 'Paul Levitt', 'John McNamara', 'Joseph Mell', 'Eddie Parker', 'Waclaw Rekwart', 'Cosmo Sardo', 'Jeffrey Sayre', 'Cap Somers', 'Ted Thorpe', 'Napoleon Whiting']",,3.97,https://letterboxd.com//film/imitation-of-life-1959/
3,Under the Skin of the City,2001,Rakhshan Banietemad,"['Mohammad Reza Foroutan', 'Golab Adine', 'Baran Kosari', 'Ebrahim Sheibani', 'Mohsen Ghazi Moradi', 'Mehrave Sharifinia', 'Homeira Riazi', 'Alireza Oosivand']",,3.15,https://letterboxd.com//film/under-the-skin-of-the-city/
4,Amend: The Fight for America,2021,"Kenny Leon, Reinaldo Marcus Green","['Will Smith', 'Mahershala Ali', 'Samira Wiley', 'Courtney B. Vance', 'Samuel L. Jackson', 'Bambadjan Bamba', 'Lena Waithe', 'Sterling K. Brown', 'Diane Guerrero', 'Daveed Diggs', 'Aja Naomi King', 'Laverne Cox', 'Bobby Cannavale', 'Hannah Gadsby', 'Helen Hunt', 'Algee Smith', 'Randall Park', 'Marsai Martin', 'Alia Shawkat', 'Jae Suh Park', 'Gabriel Luna', 'Graham Greene', 'Whitney Cummings', 'Diane Lane', 'Dermot Mulroney', 'Pedro Pascal', 'Willow Smith', 'Larry Wilmore', 'Utkarsh Ambudkar', 'Rafael Casal', 'Joseph Gordon-Levitt', 'Joshua Jackson', 'Ki Hong Lee', 'Tig Notaro', 'Yara Shahidi']",,3.95,https://letterboxd.com//film/amend-the-fight-for-america/
5,When They See Us,2019,Ava DuVernay,"['Jharrel Jerome', 'Ethan Herisse', 'Marquis Rodriguez', 'Asante Blackk', 'Caleel Harris', 'Marsha Stephanie Blake', 'Michael Kenneth Williams', 'John Leguizamo', 'Aunjanue Ellis', 'Niecy Nash', 'Kylie Bunbury']",,4.52,https://letterboxd.com//film/when-they-see-us/
6,Fruitvale Station,2013,Ryan Coogler,"['Michael B. Jordan', 'Melonie Diaz', 'Octavia Spencer', 'Kevin Durand', 'Chad Michael Murray', ""Ahna O'Reilly"", 'Ariana Neal', 'Keenan Coogler', 'Trestin George', 'Joey Oglesby', 'Michael James', 'Marjorie Crump-Shears', 'Destiny Ekwueme', 'Bianca Rodriguez III', 'Julian Keyes', 'Kenny Grimm', 'Tommy Wright', 'Jemal McNeil', 'Steven C. Johnson', 'Alejandra Nolasco', 'Alessandro Garcia', 'Marvin Greene', 'Laurel Moglen', 'Victor Toman', 'Herman Tsui', 'Liisa Cohen', 'Darren Bridgett', 'Caroline Lesley', 'Lucena Herrera', 'Brian Richardson', 'Razon Alicia Tramble', 'Maya Tapia', 'Nassir Zughayer', 'Patrick Sieler', 'Thomas Cokenias', 'Wanda Johnson', 'Christina Elmore', 'Tamera Tomakili', 'Chris Riedell', 'Denzel Worthington', 'Alan C. Foster', 'Saul Ramirez', 'Charmaine Davis', 'Jonez Cain', 'Jasmin Bristow', 'Chris Morocco', 'Robert Ajlouny', 'Noah Staggs', 'Kurt Cotton', 'Nicholas Crispen', 'Dustin Miller', 'Sergio Alejandro', 'William T. Bayley', 'Jennifer Nicole', 'Lola Preza', 'Levi Zavala', 'Jason Garcia', 'William Armando', 'Tristan Gray', 'Ruben Rivera', 'Kassandra Cesar', 'Israel Cesar', 'Tatiyana Gomez', 'Noah Zavala', 'Maleah Nipay-Padilla', 'Nicole Maxali', 'Jessica Clark', 'John Burke', 'Montgomery Paulsen', 'Matthew Thomas Ward', 'Spencer Kalin-Mulder', 'Della Hamlin', 'James Mastel', 'Guzman Leonel', 'Buddy Rahming']",,3.87,https://letterboxd.com//film/fruitvale-station/
7,Chunhyang,2000,Im Kwon-taek,"['Hyo-jeong Lee', 'Cho Seung-woo', 'Kim Sung-nyeo', 'Hak-young Kim', 'Lee Jeong-heon', 'Choi Jin-yeong', 'Lee Hae-eun', 'Hong Kyeong-yeon', 'Sang-hyun Cho', 'Myung-hwan Kim', 'Lee Hae-ryong', 'Jun-hwam Gok', 'Keun-mo Yoon', 'Taell Bae', 'Bong Chotae', 'Yun Il-ju', 'Hwang Choon-ha', 'Park Kil-soo', 'Kwon Tae-won', 'Park Chul-min']",,3.39,https://letterboxd.com//film/chunhyang/
8,Timecode,2000,Mike Figgis,"['Xander Berkeley', 'Golden Brooks', 'Saffron Burrows', 'Viveka Davis', 'Richard Edson', 'Aimee Graham', 'Salma Hayek', 'Glenne Headly', 'Andrew Heckler', 'Holly Hunter', 'Danny Huston', 'Daphna Kastner', 'Patrick Kearney', 'Elizabeth Low', 'Kyle MacLachlan', 'Mía Maestro', 'Leslie Mann', 'Suzy Nakamura', 'Alessandro Nivola', 'Zuleikha Robinson', 'Julian Sands', 'Stellan Skarsgård', 'Jeanne Tripplehorn', 'Steven Weber', 'Colette Divine', 'David Schatanoff Jr.', 'Patty Tobin']",,2.9,https://letterboxd.com//film/timecode/
9,The Lives of Others,2006,Florian Henckel von Donnersmarck,"['Martina Gedeck', 'Ulrich Mühe', 'Sebastian Koch', 'Ulrich Tukur', 'Thomas Thieme', 'Hans-Uwe Bauer', 'Volkmar Kleinert', 'Matthias Brenner', 'Charly Hübner', 'Herbert Knaup', 'Bastian Trost', 'Marie Gruber', 'Volker Michalowski', 'Werner Daehn', 'Hinnerk Schönemann', 'Thomas Arnold', 'Ludwig Blochberger', 'Martin Brambach', 'Hubertus Hartmann', 'Paul Faßnacht', 'Paul Maximilian Schüller', 'Susanna Kraus', 'Michael Gerber', 'Fabian von Klitzing', 'Harald Polzin', 'Sheri Hagen', 'Gitta Schweighöfer', 'Hildegard Schroedter', 'Inga Birkenfeld', 'Jens Wassermann', 'Gabi Fleming', 'Kai Ivo Baulitz', 'Anabelle D. Munro', 'Klaus Münster']",,4.13,https://letterboxd.com//film/the-lives-of-others/
10,Run Lola Run,1998,Tom Tykwer,"['Franka Potente', 'Moritz Bleibtreu', 'Herbert Knaup', 'Nina Petri', 'Armin Rohde', 'Joachim Król', 'Ludger Pistor', 'Suzanne von Borsody', 'Sebastian Schipper', 'Julia Lindig', 'Lars Rudolph', 'Andreas Petri', 'Klaus Müller', 'Utz Krause', 'Beate Finckh', 'Volkhart Buff', 'Heino Ferch', 'Ute Lubosch', 'Dora Raddy', 'Monica Bleibtreu', 'Peter Pauli', 'Marc Bischoff', 'Hans Paetsch']",,3.75,https://letterboxd.com//film/run-lola-run/
11,Rope,1948,Alfred Hitchcock,"['James Stewart', 'John Dall', 'Farley Granger', 'Edith Evanson', 'Joan Chandler', 'Cedric Hardwicke', 'Constance Collier', 'Douglas Dick', 'Dick Hogan', 'Alfred Hitchcock']",,4.05,https://letterboxd.com//film/rope/
12,Entertainment,2015,Rick Alverson,"['Gregg Turkington', 'Tye Sheridan', 'John C. Reilly', 'Lotte Verbeek', 'Dean Stockwell', 'Amy Seimetz', 'Tim Heidecker', 'Kalia Prescott', 'Tonantzin Carmelo', 'Waymond Lee', 'Ashley Atwood', 'David Yow', 'Michael Cera', 'Mariann Gavelo', 'Brenna Rhea', 'Dustin Guy Defa', 'Annabella Lwin', 'Sergio Martinez']",,3.28,https://letterboxd.com//film/entertainment/
13,Toni Erdmann,2016,Maren Ade,"['Sandra Hüller', 'Peter Simonischek', 'Michael Wittenborn', 'Thomas Loibl', 'Trystan Pütter', 'Ingrid Bisu', 'Hadewych Minis', 'Lucy Russell', 'Victoria Cociaș', 'Alexandru Papadopol', 'Victoria Malektorovych', 'Ingrid Burkhard', 'Jürg Löw', 'Ruth Reinecke', 'Nicolas Wackerbarth', 'Mihai Manolache', 'Radu Bânzaru', 'Niels Bormann', 'Radu Dumitrache', 'Klara Höfels', 'Hartmut Stanke', 'Hans Löw', 'Julischka Eichel', 'Lennart Moho', 'Irene Rindje', 'Sava Lolov', 'John Keogh', 'Cezara Dafinescu', 'Ozana Oancea', 'Manuela Ciucur', 'Ursula Renneke', 'Karlheinz Ade', 'Mugur Sabo', 'Manu Sabo', 'Claudiu Împăratu', 'Bryan Jardine', 'Dana Marineci', 'Cătălin Băicuș', 'Marius Georgian', 'Miriam Rizea', 'Luana Stoica', 'Valentin Popescu', 'Ioan Brancu', 'Emil Constantinescu', 'Mădălina Ciotea', 'Daniel Filipescu', 'Raluca David', 'Mihai Răzuș', 'Adrian Bucur', 'Andrei Mateiu', 'Florin Vișenescu', 'Șerban Gabriel Cismărescu', 'Marcus Weber', 'Ebba', 'Vlad Ivanov', 'Cosmin Pădureanu']",,3.81,https://letterboxd.com//film/toni-erdmann/
14,Beaches,1988,Garry Marshall,"['Bette Midler', 'Barbara Hershey', 'John Heard', 'Spalding Gray', 'Lainie Kazan', 'James Read', 'Grace Johnston', 'Mayim Bialik', 'Marcie Leeds', 'Carol Williard', 'Allan Kent', 'Phil Leeds', 'Lynda Goodfriend', 'Nikki Plant', 'Michael French', 'Robert Ball', 'Frank Campanella', 'Diane Frazen', 'Michael Elias', 'Patrick Richwood', 'Tracy Reiner', 'Zachary Weintraub', 'Nicky Blair', 'Joshua Levinson', 'Lori Marshall', 'Jenifer Lewis', 'Charlotte Crossley', 'Julie Bond', 'Kimberly Morgan', 'Andrea Paris', 'Adrienne Parker', 'Ken Gibbel', 'Harvey Miller', 'Hector Elizondo', 'Whit Hertford', 'Garry Marshall', 'Lori Sigrist', 'Terri Sigrist']",,3.47,https://letterboxd.com//film/beaches/
